物件の管理番号,備考欄（技術）,積載量/kg,点検月
"HK9-544","駐車場：有料P(階段裏のスペースに停められるかも)
階段開放：要(1階の外扉)
通知：貼紙
警備：なし
監視：KIZNOR
蛍光灯：LED(電球型)
入館：暗証*0504呼
KBOX：建物内階段横のパイプシャフト内(外階段の鍵)

B階乗場でメンテコン使用時は、キズナ本体通信線外す。

カゴ落下防止チェーン有り1400mm:ピット内
バッテリーボックス:BXJ2コネクタのみ
ブレーキトルクプログラム有り150%","600","1.4.7.10"
"HK9-894","駐車場：裏口側の駐車スペース（送迎バスがある方）空いてなければ正面駐車場もOK
建物を正面に見て右側から回った場所にあります。
裏口側駐車場のスロープ下って裏口より入館、入ってすぐ守衛室があるので
挨拶と入館手続き（入館証をつけるのと記入）と機械室鍵借用。

機械室は４階乗場出て右に回った所の階段で上がるとあります。
警備無し
外部インターホン：B1守衛室
内部階段
日中の担当：井上主任
夜間の担当：守衛室の当直者

夜間裏口施錠されているときは011-897-4111に電話して開けてもらう。
裏口のパスワードは毎月変更、その月の月末日4ケタが暗唱番号。","600","1.4.7.10"
"HK1-881","駐車場：都度確認
階段開放：無
通知：FAX（011-817-5158）
警備：無
監視：キズナ
蛍光灯：LED


※点検時間厳守・１階乗場に点検柵設置","600","1.4.7.10"
"HK1-882","駐車場：都度確認
階段開放：無
通知：FAX（011-817-5158）
警備：無
監視：キズナ
蛍光灯：LED


※点検時間厳守・１階乗場に点検柵設置","600","1.4.7.10"
"HK1-883","駐車場：都度確認
階段開放：無
通知：FAX（011-817-5158）
警備：無
監視：キズナ
蛍光灯：LED


※点検時間厳守・１階乗場に点検柵設置","600","1.4.7.10"
"HK1-884","駐車場：都度確認
階段開放：無
通知：FAX（011-817-5158）
警備：無
監視：キズナ
蛍光灯：LED


※点検時間厳守・１階乗場に点検柵設置","600","1.4.7.10"
"HK10-440","","600","1.4.7.10"
"HK10-441","","600","1.4.7.10"
"HK2-687","","600","1.4.7.10"
"HK6-960","","600","1.4.7.10"
"HK3-132","","650","1.4.7.10"
"HK7-430","<div><font size=""4"">UA04Gi　駐車場：敷地内 、警備：なし 、外部開放：不要

2020/4/10～　エレベーター異常(D100)は診断不要です!!　その他の発報・別コードに関しては通常フローでお願いします。



①駐車場　　　　　現地建物前　
②入館　　　　　　フリー　入館後右手旧館への渡り廊下を進み途中左手に扉あるので入室
　　　　　　　　　管理課庶務係　近江様へ挨拶。点検時監視盤に点検札張り付ける。
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　FCL30×4
⑩点検連絡　　　　メール　近江 祐喜 </font></div><div><font size=""4"">??※　故障発生時は数日以内に現地担当近江様あてメールにて故障報告書をPDF添付にて送付すること。?oumi@city.iwamizawa.lg.jp</font></div><div>?<font size=""4"">※ ?年1回　9月に電気点検立会い作業あり(無償)。電気点検作業前にエレベーターを監視盤にてパーキングで停止。電気復旧後に試運転実施する。</font>?</div><div><br /></div><div><font size=""4"">?</font></div><!-- RICH TEXT -->","750","1.4.7.10"
"HK7-431","<div><font size=""4"">UA04Gi　駐車場：敷地内 、警備：なし 、外部開放：不要

2020/4/10～　エレベーター異常(D100)は診断不要です!!　その他の発報・別コードに関しては通常フローでお願いします。


①駐車場　　　　　現地建物前　
②入館　　　　　　フリー　入館後右手旧館への渡り廊下を進み途中左手に扉あるので入室
　　　　　　　　　管理課庶務係　近江様へ挨拶。点検時監視盤に点検札張り付ける。
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　FCL30×4
⑩点検連絡　　　　メール　近江 祐喜 </font></div><div><font size=""4"">??※　故障発生時は数日以内に現地担当近江様あてメールにて故障報告書をPDF添付にて送付すること。?oumi@city.iwamizawa.lg.jp</font></div><div>?<font size=""4"">※ ?年1回　9月に電気点検立会い作業あり(無償)。電気点検作業前にエレベーターを監視盤にてパーキングで停止。電気復旧後に試運転実施する。</font>?</div><div><br /></div><div><font size=""4"">?</font></div><!-- RICH TEXT -->","750","1.4.7.10"
"HK2-637","<div><font size=""4"">駐車場：建物前
</font></div><div><font size=""4"">階段開放：無
</font></div><div><font size=""4"">通知：TEL 011-722-5021
</font></div><div><font size=""4"">警備：無
</font></div><div><font size=""4"">監視：キズナ</font></div><div><font size=""4"">
蛍光灯：奇数年7月（FHC20×５）
</font></div><div>?</div><div><font size=""4"">
客先担当→板垣（090-2332-1384）五十嵐（080-4328-7711）</font></div><!-- RICH TEXT -->","750","1.4.7.10"
"HK455","SICON-2001(B85)　駐車場は空いて所 、警備：なし 、外部開放：不要(内階段)
※MR鍵は受付にて借りる
※4F呼びテンキー番号　1703E
※4階停止時扉開放状態にしない。                                                                     
※入館時、1階受付にて来訪者記録記載し入館証携行の事。                                    
*日立  T78345-1  VF-K(B85)  1987年1月
作業時間：16：00～17：00

【請求書送付先変更】(旧)現地→(新)明日佳グループ事務センター経理担当(H28.8.1～)
※LED：売切(2021.7.5～)
【救出訓練実施物件】
担当：先崎様　TEL:0126-25-5670","750","1.4.7.10"
"HK7-572","※最新救出訓練実施日：2023.7.21　救出訓練実施　大久保様　岩田様　2名","750","1.4.7.10"
"HK7-574","※最新救出訓練実施日：2023.7.21　救出訓練実施　大久保様　岩田様　2名","750","1.4.7.10"
"HK-R1369","①駐車場　　　　　あり
②入館　　　　　　インターホンであけてもらう
③キーBOX　　　　M/Rのため無し
④遠隔　　　　　　エミック遠隔あり
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　FCL30×2
⑩点検連絡　　　　TEL　011-378-2734

点検時間指定有　13-15時","750","1.4.7.10"
"HK550","エシードe2(3停)　　　駐車場所：現地駐車場、警備：なし、外部階段解放：無、挨拶：現地受付

遠隔監視：キズナ、入館：インターホン、契約：POG、点検月：1・4・7・10、客先INT：1階エレベータホール、照明：FCL30×5

点検時間：指定無　　　レポート後日郵送　サイン無し

点検連絡：現地にTEL(011-891-2405)

納骨堂とペアで点検
■JPM認定物件　認定番号：JPM-19336　有効期間：2019/10/23～2021/10/31　【連続取得物件　旧認定番号：JPM-17283】




エシードe2(3停)　　　駐車場所：現地駐車場、警備：なし、外部階段解放：無、挨拶：現地受付

遠隔監視：キズナ、入館：インターホン、契約：POG、点検月：1・4・7・10、客先INT：1階エレベータホール、照明：FCL30×5

点検時間：指定無　　　レポート作成：2部　提出先：現地

点検連絡：現地にTEL(011-891-2405)

納骨堂とペアで点検

■JPM認定物件　認定番号：JPM-230320　有効期間：2023/8/18～2025/8/31　【旧認定番号：JPM-19336】","750","1.4.7.10"
"HK8-762","スポーツ棟（第3体育館）ELV

①駐車場　　　　　来客用駐車スペース（場内一方通行箇所あるため注意）
②入館　　　　　　フリー
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　TEL　0126-32-1350","750","1.4.7.10"
"HK1-330","備考：CV260(4停)UCMP有　　　駐車場所：現地駐車場空いてるところ、警備：なし、外部階段解放：無、挨拶：現地沼崎様

遠隔監視：無、入館：フリー、契約：POG、点検月：1・4・7・10、客先INT：1階受付、照明：LED×6

点検時間：15：00～16：00

点検連絡：現地TEL：011-894-8181

【物件名変更】桜台江仁会病院→桜台明日佳病院(H26.10～) 
入館時、1階受付にて来訪者記録記載し入館証携行の事。
【請求書送付先変更】(旧)現地→(新)明日佳グループ事務センター経理担当(H28.8.1～)
■JPM認定物件　認定番号：JPM-15243　有効期間：2016/4/21～2018/4/30","750","1.4.7.10"
"HK7-169","入館時インターホンにてドア開錠してもらう、その後玄関の内線で１８にTELして鍵を借用する。
完了後コールセンターに挨拶してから退館する。

駐車場　敷地内来客用どこでもOK
警備無し","750","1.4.7.10"
"HK8-763","地域文化活動棟ELV

①駐車場　　　　　来客用駐車スペース（場内一方通行箇所あるため注意）
②入館　　　　　　フリー
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　TEL　0126-32-1350","750","1.4.7.10"
"HK341","報告書は2部コピーしてもらい、原本とコピー一部を提出、もう一部のコピーが弊社控え
事務所戻ったらコピーをPDFスキャンしてマキシモ物件情報の関連リンクに添付する。


職員玄関より入館　生徒玄関横
事務室に挨拶し作業
15日前後TELにて確認                                                                               
初回契約：平成15年4  H24.3解約/H26.4～2015.3/末→2024.4復活                                                              
自主検査は7月か8月                                                                                  
駐車場：あいてる所","750","1.4.7.10"
"HK7-814","従業員用入口インターホンで挨拶
1号機から点検、1号機2号機ともにパーキング解除しておいたままでいい
警備無し
内部階段","750","1.4.7.10"
"HK7-815","従業員用入口インターホンで挨拶
1号機から点検、1号機2号機ともにパーキング解除しておいたままでいい
警備無し
内部階段","750","1.4.7.10"
"HK8-761","音楽棟ELV

①駐車場　　　　　来客用駐車スペース（場内一方通行箇所あるため注意）
②入館　　　　　　フリー
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　FCL30×2
⑩点検連絡　　　　TEL　0126-32-1350","750","1.4.7.10"
"HK1-578","駐車場：建物前入り口前or近隣有料
階段開放：無
通知：TEL（011-820-2800）
警備：無
監視：キズナ
蛍光灯：４月（FCL20×3）


2023.5.1時点
現地テナント抜けて、改装中(2024.3オープン予定)
点検連絡：ホテル十勝屋後藤社長にTEL(090-6692-3205)
点検時は：日程調整の上、現地立会いして頂く（テナントいないうちは、いつでもＯＫ）
鍵借用

2024.7.11時点
現地ホテル営業中
フロントにて鍵借用
チェックインが15時からなので15時前までに作業終わらせた方が良さげ
現地の地下駐車場使えそう(車高注意)","750","1.4.7.10"
